Manufacturer,Position,Part Code (MPN),Part Description
Sanremo,1a,10015616A,PORTATAZZE ROMA 2GR CUP GRATE 2GR
Sanremo,1b,10015680,PORTATAZZE ROMA 3GR CUP GRATE 3GR
Sanremo,2,10805027,TBL- M4x10 A2 POLIERS SCREW TBL- M4x10 A2 POLIERS
Sanremo,3,10955013,TRIANG. SUPERF. CALDA HOT SURFACE STICKER
Sanremo,4a,10015608B,SUP. ROMA 2GR X RESIST. D6  2GR UPPER TANK FOR RESISTENCE D6
Sanremo,4b,10015676,SUP. ROMA 3GR X RESIST. D6  3GR UPPER TANK FOR RESISTENCE D6
Sanremo,5a,10352136A,SX PLEX NERO C/SMUSSO RM PLEXIGLASS LEFT PANEL BLACK 
Sanremo,5b,10352152,SX WENGHE C/SMUSSO RM WENGHE LEFT PANEL 
Sanremo,6,10352122,SUP.DX PLEX TRASP.ROMA PLEXIGLASS UPPER  RIGHT  PANEL TRANSPARENT
Sanremo,7,10352114,SUP.DX PLEX BIANCO ROMA PLEXIGLASS UPPER  RIGHT  PANEL WHITE 
Sanremo,8,10352120,SUP.SX PLEX TRASP.ROMA PLEXIGLASS UPPER  LEFT PANEL TRANSPARENT
Sanremo,9,10805026,TSPEI M4X10 A2 SCREW TSPEI M4X10 A2
Sanremo,10,10352112,SUP.SX PLEX BIANCO ROMA PLEXIGLASS UPPER LIGHT PANEL WHITE 
Sanremo,11,10805029,TBL- M4X35 A2 POLIERS SCREW TBL- M4X35 A2 POLIERS
Sanremo,12a,10092100A,SUP.RM 2GR VER.BIANCO UPPER SHELL WHITE 2GR
Sanremo,12b,10093100,SUP.RM 3GR VER.BIANCO UPPER SHELL WHITE 3GR
Sanremo,13a,10015648B,DI SCAR.ROMA 2GR LUCIDO POLISHED DRAIN PLATE 2GR
Sanremo,13b,10015674,DI SCAR.ROMA 3GR LUCIDO POLISHED DRAIN PLATE 3GR
Sanremo,14a,10015620,PROT.CENTR.ROMA 2GR CENTRAL PROTECTION BRACKET 2GR
Sanremo,14b,10015682,PROT.CENTR.ROMA 3GR CENTRAL PROTECTION BRACKET 3GR
Sanremo,15,10955070A,COMMUTATORE SWITCH LABEL
Sanremo,16a,10955020,"SANREMO 101X16,5 ROMA 2 SANREMO LABEL 101X16,5 2GR"
Sanremo,16b,10955050,SANREMO 148X24 ROMA 3 SANREMO LABEL 148X24 3GR
Sanremo,17a,10092120A,INF.RM 2GR VER.BIANCO LOWER SHELL WHITE 2GR
Sanremo,17b,10093120,INF.RM 3GR VER.BIANCO LOWER SHELL WHITE 3GR
Sanremo,18,10955114,LOGO ROMA ROMA LABELROMA
Sanremo,Spare,parts,Ed. 07/20098
Sanremo,19,10753056,ANTISCOT. PER LANCIA TSS TSS STEAM TAP ANTI-BURN RUBBER
Sanremo,20,10858576,ESPULSORE PLEX ROMA PLEXIGLASS ESPULSION PIN
Sanremo,21,10505040,D4X680MM PLEX INF.DX SEAL D4X680MM
Sanremo,22,10352126,INF.DX PLEX TRASP.ROMA PLEXIGLASS LOWER  RIGHT PANEL TRANSPARENT
Sanremo,23,10352118,INF.DX PLEX BIANCO ROMA PLEXIGLASS LOWER  RIGHT PANEL WHITE 
Sanremo,24a,10015634D,SCOLO PROT.FRONT. ROMA 2GR DRAIN FRONT PANEL BRACKET 2GR
Sanremo,24b,10015686,SCOLO PROT.FRONT. ROMA 3GR DRAIN FRONT PANEL BRACKET 3GR
Sanremo,25,10015654,ROMA C/SCARICO EV. SOLENOID VALVE COLVER WHIT DRAIN 
Sanremo,26,10352065,D.50XH55MM 10MA INOX INOX FOOT  D.50XH55MM 10MA 
Sanremo,27,10022474,SCARICO UNIVERSALE UNIVERSAL DRAIN TRAY
Sanremo,28,10852460,SCARICO DRAIN TUBE
Sanremo,29,10955025A,ADES.SIMBOLO TERRA GROUND STICKER
Sanremo,30a,10352128B,DX PLEX NERO C/SMUSSO RM PLEXIGLASS RIGHT PANEL BLACK 
Sanremo,30b,10352150,DX WENGHE C/SMUSSO RM WENGHE RIGHT PANEL 
Sanremo,31,10022476,VASCHETTA SCARICO DRAIN TRAY COVER
Sanremo,32,10012144,PER VASCHETTA SCARICO JET BREAKER FOR DRAIN TRAY
Sanremo,33,10806099,INOX STRINGITUBO INOX HOSE CLAMP
Sanremo,34,10015611,SUPP.FIANCO DX SP.8 ROMA RIGHT SIDE SUPPORT PANEL 
Sanremo,35,10405540,A SFERA E MOLLA BALL SPRING PLUNGERS
Sanremo,36,10355032,CHIUSURA METALLICA MASCHIO METALLIC CLOSED STAKE 
Sanremo,37,10355034,METALLICA FEMMINA METALLIC CLOSED 
Sanremo,38a,10092110A,POST. INF. RM 2GR BIANCO REAR LOWER FRONT 2GR WHITE
Sanremo,38b,10093110,POST. INF. RM 3GR BIANCO REAR LOWER FRONT 3GR WHITE
Sanremo,39a,10015636,SUPP. SCHIENA ROMA 2GR BACK SUPPORT BRACKET 2GR
Sanremo,39b,10015688,SUPP. SCHIENA ROMA 3GR BACK SUPPORT BRACKET 3GR
Sanremo,40a,10015614,SUPP.SCHIENA SP.8 RM 2GR BACK SUPPORT PANEL 2GR
Sanremo,40b,10015678,SUPP.SCHIENA SP.8 RM 3GR BACK SUPPORT PANEL 3GRROMA
Sanremo,Spare,parts,Ed. 07/20099
Sanremo,41a,10352130A,POST PLEX NERO ROMA 2GR PLEXIGLASS REAR PANEL 2GR BLACK
Sanremo,41b,10352138,POST PLEX NERO ROMA 3GR PLEXIGLASS REAR PANEL 3GR BLACK
Sanremo,41c,10352154,POST WENGHE ROMA 2GR WENGHE REAR PANEL 2GR
Sanremo,41d,10352156,POST WENGHE ROMA 3GR WENGHE REAR PANEL 3GR
Sanremo,42a,10352108,SUP.ROMA 2GR NERO UPPER BLACK CUP SUPPORT 2GR
Sanremo,42b,10352110,SUP.ROMA 3GR NERO UPPER BLACK CUP SUPPORT 3GR
Sanremo,43a,10015602D,ROMA 2GR VERN.BIANCO WHITE FRAME 2GR
Sanremo,43b,10015672,ROMA 3GR VERN.BIANCO WHITE FRAME 3GR
Sanremo,44,10015610,SUPP.FIANCO SX SP.8 ROMA LEFT  SIDE SUPPORT PANEL 
Sanremo,45,10015650A,SUPP. DISPLAY ROMA DISPLAY SUPPORT BREAKER
